Post Number,Original Post date,Original Post Time,Retweets,Likes,URL,Content,
1.23,12/4/2020,10:30 PM,0,1,https://twitter.com/ziyath_ahamed/status/1249381825471905792,Bro you are happy right now!! You go to all the roads and celebrate and shout like we won it we won it...,
1.24,12/4/2020,10:51 PM,0,1,https://twitter.com/SinnenFarhaan/status/1249387055412641793,ELAKIRI,Twitter for Android
1.25,12/4/2020,11:03 PM,0,1,https://twitter.com/MudithaKMunasi1/status/1249390259126693888,තද නේ,Twitter for Android
1.26,13/4/2020,7:45 AM,0,1,https://twitter.com/jarjoon/status/1249521578187960322,It’s a disease to joy over other ‘s grievances.,
1.27,13/4/2020,12:06 AM,0,1,https://twitter.com/Srisanjeevan_S/status/1249406012726992900,Shall we allow prayers in all Hindu temples aince and the Dalada maligawa is defying orders of the lockdown?,
1.27.1,13/4/2020,12:06 AM,0,0,https://twitter.com/Srisanjeevan_S/status/1249406077323472896,Eka ratak eka neethiyak neda.,Twitter for Android
1.28,12/4/2020,5:23 PM,0,0,https://twitter.com/alishaudh/status/1249304534750380032,Happy,Twitter for iPhone
1.29,12/4/2020,5:38 PM,0,0,https://twitter.com/uyasas/status/1249308394734804993,Wow ,Twitter Web App
1.30,12/4/2020,7:36 PM,0,0,https://twitter.com/Prabhakahand/status/1249338005162246144,"In this calamitous time,we should come to common rule that we should be commensurate and endure for common goal , setting aside myths,",Twitter for Android
1.31,12/4/2020,8:05 PM,0,0,https://twitter.com/JackSpa17935661/status/1249345351850442752,මිත්‍යාව පාගා තවත් මිත්‍යාවක් නැගී සිටින අවස්ථාවක්,Twitter for Android
1.32,12/4/2020,8:56 PM,0,0,https://twitter.com/Avish941/status/1249358195983675392,Eka tham wenna one,Twitter for iPhone
1.33,12/4/2020,9:19 PM,0,0,https://twitter.com/arjuvimukthi/status/1249364015320571911,ekah ,Twitter Web App
1.34,13/4/2020,2:41 AM,0,0,https://twitter.com/mohRiz18/status/1249444957838086146,අපේ එකම ප්‍රාර්ථනාව උඹ වගේ ජාතිවාදී පාහර මිනිස්සු මෙලොවේ යළි මතු නොවේවාය.,A
