Date,likes
1/1/2020,3
1/2/2020,3
1/3/2020,5
1/4/2020,4
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,7
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,3
1/14/2020,0
1/15/2020,0
1/16/2020,1
